@timestamp,objId,rsctypeId,TEMPERATURE1,TEMPERATURE,HUMIDITY1,HUMIDITY
2025-03-27T00:12:12.147Z,195,FTH,20.26,27.93,39.6,26.1
2025-03-27T00:12:18.274Z,198,FTH,19.85,21.02,40.41,37.33
2025-03-27T00:12:18.277Z,200,FTH,19.83,22.87,39.83,33.69
2025-03-27T00:12:18.281Z,201,FTH,20.23,21.49,39.6,36.56
2025-03-27T00:12:19.194Z,196,FTH,20.2,27.21,39.33,27.01
2025-03-27T00:12:22.367Z,23,FTH,18.49,21.95,42.66,33.24
2025-03-27T00:12:23.234Z,202,FTH,20.22,21.67,39.53,36.37
2025-03-27T00:12:24.259Z,199,FTH,20.22,20.41,39.55,38.73
2025-03-27T00:12:39.345Z,192,FTH,19.26,26.9,41.78,26.99
2025-03-27T00:12:40.344Z,194,FTH,18.14,27.11,44.21,27.16
2025-03-27T00:12:45.360Z,20,FTH,21.28,31.73,36.88,17.67
2025-03-27T00:12:45.364Z,21,FTH,25.06,28.41,30.67,22.45
2025-03-27T00:12:45.368Z,203,FTH,21.03,21.64,38.71,36.34
2025-03-27T00:12:45.371Z,208,FTH,21.14,25.54,37.71,28.75
2025-03-27T00:12:50.432Z,24,FTH,20.53,25.07,38.92,27.11
2025-03-27T00:12:50.436Z,191,FTH,22.66,28.41,34.51,25.66
2025-03-27T00:12:56.464Z,204,FTH,20.61,29.27,38.57,23.83
2025-03-27T00:13:01.512Z,22,FTH,17.04,24.33,47.89,28.94
2025-03-27T00:13:06.558Z,206,FTH,20.63,24.28,39.29,30.68
2025-03-27T00:13:07.578Z,25,FTH,22.6,25.27,35.03,26.61
2025-03-27T00:13:07.582Z,197,FTH,20.57,21.71,38.38,36.15
2025-03-27T00:13:07.597Z,205,FTH,20.46,21.84,39.79,35.4
2025-03-27T00:13:07.601Z,207,FTH,20.83,21.52,38.46,36.79
2025-03-27T00:13:12.617Z,193,FTH,18.21,26.27,44.25,28.29
2025-03-27T00:13:12.622Z,195,FTH,20.35,27.92,39.58,26.12
2025-03-27T00:13:18.622Z,198,FTH,20.57,21.15,39.49,37.2
2025-03-27T00:13:18.626Z,200,FTH,20.31,22.88,38.91,33.69
2025-03-27T00:13:18.629Z,201,FTH,20.67,21.65,38.72,36.41
2025-03-27T00:13:19.634Z,196,FTH,20.23,27.24,39.21,26.96
2025-03-27T00:13:22.681Z,23,FTH,18.51,21.95,42.65,33.15
2025-03-27T00:13:23.668Z,202,FTH,20.52,21.75,38.97,36.21
2025-03-27T00:13:24.688Z,199,FTH,20.88,20.7,38.38,38.21
2025-03-27T00:13:39.808Z,192,FTH,19.25,26.88,41.77,26.97
2025-03-27T00:13:40.808Z,194,FTH,18.13,27.09,44.3,27.18
2025-03-27T00:13:45.844Z,20,FTH,21.31,31.77,36.82,17.66
2025-03-27T00:13:45.848Z,21,FTH,24.9,28.43,30.91,22.43
